tweet,autoridades,emojis,caixa_alta,hashtags,termos_tecnicos,repeticoes_pontuacao,verbos_primeira_pessoa,pronomes_primeira_pessoa
"Cofundador da Natura declara apoio a Lula: ""2º mandato de Bolsonaro é perigoso"" https://t.co/TAISviCreI https://t.co/qO5KT55Xya","Cofundador da natura, Lula, Bolsonaro, Https://t.co/taisvicrei https://t.co/qo5kt55xya",,,,,,,
"@betatrotta @RonMeza @xicosa @Haddad_Fernando Rsrs mas não precisa de nada para te fazer votar em um ser cruel, corrupto, genocida, machista, homofóbico,  q destrói o país e o meio ambiente, nazifascista. Ciência não é pata todos e o seu voto é uma questão de identificação.",,,,,,,,te
"@JosL1486 @coeguiga @LucenaCassandra @D0m1n1kj @AndreJanonesAdv @mfriasoficial A memória do povo é curta mesmo. Esqueceu dos 16 anos de PT no poder, assaltos, filas de hospitais, falta de água, de comida, só tragédia na televisão o dia inteiro. Roubos e corrupção como nunca antes. O BR agora está crescendo de verdade. E Bolsonaro nem teve tempo de governar.","@coeguiga, Pt, Br, Bolsonaro",,"A, PT, O, BR, E",,,,,
"Acabou de aparecer um vídeo das meninas da igreja que eu ""ia"" falando do voto a favor do Bolsonaro, obrigada por eu ter saído jesus, gay e inteligente sim, agora burra jamais.","Bolsonaro, Jesus",,,,,,,"eu, eu"
"Bolsonaro botando na música da propaganda eleitoral ""quem mamou não mama mais"" 💀💀💀",Bolsonaro,"💀, 💀, 💀",,,,,,
"Atenção Mineiros, a hora é agora!
Tem que ser Bolsonaro porque o ódio desse carniça esta demais. Imagina o que ele vai fazer com todos que foram contra ele! https://t.co/p6mz3WnB8d","Atenção mineiros, Bolsonaro",,,,,,,
"@LucioPacheco @folha O idiota poderia dizer quantas universidades públicas e institutos federais o miliciano genocida criou e inaugurou?

VAGABUNDO defensor de miliciano odeia a EDUCAÇÃO!",Educação!,,"O, VAGABUNDO, EDUCAÇÃO",,,,,
"@RogerBMoura @PinheiroJimena Já resgatei duas almas penadas.

1 convertido de bozó a quem apresentei FATOS de um futuro governo do inominável.

1 de Tebet que iria anular no 2º e entendeu a gravidade do momento.","Bozó, Tebet",,FATOS,,,,apresentei,
"@albuquerque_af Minha aposta!

51.8% Bolsonaro 
48.2% Loola","@albuquerque_af minha, Bolsonaro, Loola",,,,loiola,,,
@memes_medo Ele e mito?,@memes_medo,,,,,,,
"BEM entrevista Pr. Bolsonaro em Belém 
https://t.co/Jq8wWc5Zcs","Pr, Bolsonaro, Belém",,BEM,,,,,
@jairbolsonaro É Bolsonaro sim é 22 é mito é nòis 🙏👍,"@jairbolsonaro, Bolsonaro","🙏, 👍",É,,,,,
equipe de campanha do bolsonaro meteu um jingle QUEM MAMOU NÃO MAMA MAIS em pleno horário nobre,"Bolsonaro, Quem mamou não mama",,"QUEM, MAMOU, NÃO, MAMA, MAIS",,,,,
BOLSONARO AO VIVO AGORA NO INSTAGRAM https://t.co/zMrQrrvvvy,,,"BOLSONARO, AO, VIVO, AGORA, NO, INSTAGRAM",,,,,
@MarceloFreixo @Paulinha_Carioc @LulaOficial VEJA O BOLSOLÃO! Como Bolsonaro compra deputado! Ele queria ver índio ser cozinhado e ainda comeria CARNE HUMANA !!! Vá na minha página e DIVULGUE! VAMOS TACAR O DEDO MINHA GENTE! Bolsonaro na cadeia já! Bolsonaro presidiário ! Rachadinha e Compra de imóveis com dinheiro vivo! https://t.co/LVV1d86Cfg,"Veja, Bolsonaro, Humana !!!, Divulgue, Gente!, Bolsonaro",,"VEJA, O, BOLSOLÃO, CARNE, HUMANA, DIVULGUE, VAMOS, TACAR, O, DEDO, MINHA, GENTE",,,"""!"": 0",,
@77_frota @JosCarl06283756 Covardia é se eleger deputado as cuatas de Bolsonaro e depois o Trair,"Covardia, Bolsonaro, Trair",,,,,,,
"@JiuFoz @jmaciel983 @zumbinfl @GuilhermeBoulos Quem prega a moral é o bolsonaro, o PT prega instituições independentes e quem cometeu crime que pague. Mas vamos continuar no bolsonaro ou vc só foge falando do PT? o Lira não tá com o governo? O Valdemar Costa Neto não tá com o bolsonaro juntinho?","@jmaciel983 @zumbinfl, Bolsonaro, Pt, Bolsonaro, Pt, Lira, Valdemar costa neto, Bolsonaro juntinho",,"PT, PT, O",,valdemar,,juntinho,
@luh_lyng @juh__louzada @LulaOficial Inclusive o governo Bolsonaro 🙏🏻,Bolsonaro,"🙏, 🏻",,,,,,
"@felipeneto Esse Nikolas é o famoso: “Bonitinho,mas,ordinário”. Miniatura de genocida.","Nikolas, Bonitinho, Miniatura",,,,nicolas,,,
DEEM O TROCO A ESSE GENOCIDA NORDESTE https://t.co/Ix9Elmq7OL,Deem,,"DEEM, O, TROCO, A, ESSE, GENOCIDA, NORDESTE",,,,,
@FluminenseFC Decisão correta. Contratem o Jair Ventura.,"@fluminensefc decisão, Contratem, Jair ventura",,,,,,,
"Tereza Campello: Bolsonaro mede as pessoas por si próprio, que é preguiçoso, esnobe e venal https://t.co/1jnFEkK8Q5","Tereza campello, Bolsonaro",,,,,,,
@felipeneto Seguindo mau exemplo do mito dele... https://t.co/MJLteUDdV9,,,,,,,,
"@nikolas_dm Eu que não estarei , respeito a sua opinião, respeito seu modo de ver , mas precisamos de mudanças, e não e Bolsonaro que irá fazer ,",Bolsonaro,,,,,,precisamos,eu
@GleynerF @MazoelF @gleisi @LulaOficial Vaza tchutchuca do centrão,Vaza,,,,,,,
"Please help support Bolsonaro Capitão do Povo 22, add a #Twibbon now! https://t.co/ZBF9lMruG6","Please help support, Capitão do povo, Twibbon now!",,,#Twibbon,,,add,
"@educarvalholl Sensação estranha , depois do Neymar apoiar o Bozo , já estou vendo pra quem torcer nesta copa do Mundo.","Neymar, Bozo, Copa do mundo",,,,,,,
Só bandido apoia maçonaro https://t.co/Fmp4T4xoJc,,,,,,,,
"vou começar a responder os stories dos Bolsonaro no Instagram

“É isso que vc quer que seu filho aprenda no colégio?”
- exato

“E a liberdade de expressão?”
- por mim vira todo mundo mudo

“Vamo virar comunista”
- é o que eu mais quero foda-se!!!!!!!!","Bolsonaro, Instagram, Vamo",,"É, E",,,"""!"": 0",quero,"mim, eu"
"@analuizadenovo Não sei, mas sei que as pessoas que come carne humana de índio votam no Bolsonaro.","@analuizadenovo, Bolsonaro",,,,,,"sei, sei",
eu vou em um evento do bolsonaro terça e ele vai estar lá AAAAA,Bolsonaro,,AAAAA,,,,ah,eu
"Quero é que Lula volte e Bolsonaro pague por tudo que tem na conta dele. Ou seja, quero JUSTIÇA! Chega de idolatrar torturador! Chega de desrespeitar mulher! Chega de desrespeitar o meio ambiente! Chega de usar o nome de Deus em vão! Chega de desrespeitar a VIDA! FORA BOLSONARO!","Lula, Bolsonaro, Justiça!, Deus",,"JUSTIÇA, VIDA, FORA, BOLSONARO",,,,"quero, quero",
"@folha o melhor controle de armas é não ter controle de armas?
https://t.co/SM7So8OcQt",,,,,,,,
"@lybrjack engraçado, duas forças do mal se unindo e o pessoal ainda acha q o bozo é pior.",Bozo,,,,,,,
"@Estadao @EstadaoPolitica Sai do ar mas não sai da mente dos cristãos 
O Deus do bozo é um bode preto a pátria são suas milicias o progresso no seu governo é a intenção e desigualdade social fome e miséria",O deus do bozo,,O,,,,,
@jairbolsonaro @realpfigueiredo Goleiro Bruno que mata a pica gente está com bolsonaro,Bolsonaro,,,,,,,
"@AndreJanonesAdv @AndreJanonesAdv @ptbrasil @TSEjusbr o Jair está divulgando o áudio falso em q supostamente o Marcola do PCC indica o voto em Lula. Eu não comentei nem retwitei, apenas Denunciei, pq o q ele quer é q o vídeo circule. Mas cabe representação e urge q o tse faça algo à respeito.","@andrejanonesadv @andrejanonesadv @ptbrasil @tsejusbr, Jair, Marcola, Pcc, Lula, Denunciei, Tse",,PCC,,,,"comentei, repensei, denunciei",eu
@guilherme_amado Se o bozo voltar para o útero da sra mãe dele e sair de novo não chegará à altura do tornozelo do Comandante Hugo Chavez! Viva a Revolução Bolivariana! E obrigado pelo oxigênio para Manaus presidente Maduro.,"Bozo, Sra, Comandante hugo chavez, Revolução bolivariana, Manaus presidente maduro",,E,,"hugo, romero",,,
@marciatiburi Então você quer dizer que mais de 50 milhões de pessoas que votaram no Bolsonaro são ricas? A burrice de vocês é diferente. Sei lá...,"@marciatiburi, Bolsonaro",,A,,,,sei,
"@Ricviz Eu concordo. Acho que partir pro campo das propostas é a melhor solução (e lula sabe disso).
Mas a economia está favorecendo Bolsonaro, é a realidade. Por isso eu tbm queria 1 turno, pois sabia que até o 2 turno era dar mais tempo pra economia estar mais forte.","Lula, Bolsonaro",,,,,,"concordo, acho","eu, eu"
@fisi__r Bonoro coloca no buraco de entrada,@fisi__r bonoro,,,,,,,
"Bolsonaro passa leite moça no pão.

Danones coloca leite moça dentro do vibrador.

Escolha o seu lado.","Bolsonaro, Danones",,,,,,,
"Governo PT: 120 milhões em orçamento secreto em 16 anos, todos indices melhorando com estado gigante. 
Governo Bozo: 61 milhões de orçamento secreto em 3 anos e bolinha, Brasil quebrando mesmo tendo cortado ministérios e o estado estar menor

Bolsominion: Mas o PT robou muito","Pt, Governo bozo, Brasil, Bolsominion, Pt",,"PT, PT",,,,,
"@AndreJanonesAdv @mfriasoficial Pra quem achava pouco autoritarismo, corrupção, fome, desemprego e inflação, Bolsonaro agora chamou o Collor.🤣👇 https://t.co/iCvYka9jF7","@andrejanonesadv @mfriasoficial, Bolsonaro, Collor","🤣, 👇",,,,,,
@AndreJanonesAdv @tarcisiogdf  diz em vídeo publicado por ele que o Fernando Collor deixou um legado.  Por isso será ministro do Bolsonaro .?????,"@andrejanonesadv @tarcisiogdf, Fernando collor, Bolsonaro",,,,fernando,"""?"": 0",,
@aparecidapena @Metropoles @guilherme_amado Só que quem quer seguir os passos do chaves é o Bolsonaro.,"@aparecidapena @metropoles, Bolsonaro",,,,,,,
"@Biakicis Bolsonaro estimula invadir o STF.
O roto falando do esfarrapado.","Bolsonaro, Stf",,"STF, O",,,,,
"@diokowski @filipesabara Thread devidamente respondida.

Bolsonaro deixa de ser antivacina depois de fevereiro de 2020. Quando os estudos mostram q esse comportamento resultariam em perda de popularidade.
Então ele inverte e tenta trazer estas narrativas que você divulga de graça. Se justificando","@diokowski @filipesabara thread, Bolsonaro",,,,thread,,,
Mulher a propaganda do bozo elogiando o nordeste BICHA A CARA NEM TREMEEEE,"Bozo, Cara nem tremeeee",,"BICHA, A, CARA, NEM, TREMEEEE",,,,,
ASSASSINO  APOIA  BOLSONARO https://t.co/okp7zgLDa3,"Assassino, Bolsonaro",,"ASSASSINO, APOIA, BOLSONARO",,,,,
"@kalliloliveira_ @nikolas_dm Olha para pesquisa
Não vamos parar de virar voto a Bolsonaro ✌️✌️✌️🇧🇷🇧🇷🇧🇷

#BolsonaroPresidente 22🇧🇷🇧🇷

Paraná Pesquisas (a mais precisa do 1° turno)

Tarcísio 54.3% 
Haddad 33.9%

Presidencial

Bolsonaro 55.9%
Lula 44.1% https://t.co/2jLkClOMaS","@kalliloliveira, Bolsonaro, Tarcísio, Haddad, Presidencial, Lula, Https://t.co/2jlkclomas","✌, ✌, ✌",,#BolsonaroPresidente,"paraná, tarcísio",,,
"#Bolsonaro22
""Vice-Governador de Rui Bosta diz que “tomou juízo” e declara apoio a Bolsonaro; VEJA VÍDEO"" https://t.co/sx7ZKttHoN","Bolsonaro22, Rui bosta, Bolsonaro, Veja vídeo""",,"VEJA, VÍDEO",#Bolsonaro22,,,,
@monicamartelli1 VIVA BOLSONARO!!!É 22!!!🇧🇷🇧🇷🇧🇷 https://t.co/si8NdgwJEx,,,"VIVA, BOLSONARO!!!É",,,"""!"": 0",,
"@JornalOGlobo a ministra do STF autorizou chamar o presidente da República de genocida ,então criticar celebridades não è ataque é liberdade de expressão.ninguem está acima da constituição,só o Alexandre de Moraes.","Stf, Presidente da, República, Alexandre de moraes",,STF,,alexandre,,,
E quando bolsonaro (como sempre despeitoso com mulheres) falou que usava o auxílio moradia pra comer gente? https://t.co/VDkYpHBSdy,,,,,,,,
"@senadorhumberto Meu nordeste querido , su professora e nordestina . Não se deixem enganar . Lula por 16 anos nunca fez nada por nós. Sempre enganou , nos sempre pobre. Abram os olhos . Bolsonaro que levou a tecnologia de Israel pra termos água. Lula só menti !!!!!!","Abram, Bolsonaro, Israel, Lula",,,,israel,"""!"": 0",,nós
@biazitagomes A folha achando que o Bolsonaro vai perdoar eles hahahahah,"@biazitagomes, Bolsonaro",,A,,,,,
@ti1892 @Sport879008 @jonesmanoel_PCB @DanielCoelho23 Então se fosse um Candidato do Novo que se colocasse contra Bolsonaro vc apertaria 30 forte né? https://t.co/nZXOunli9w,"@ti1892 @sport879008, Candidato do novo, Bolsonaro",,,,,,,
@luanvenancio_ @kimpaim Gado nunca vai questionar o mito deles.,,,,,,,,
"@CanalDoOtario @LulaOficial Agora entendi o nome do perfil…..
“Democracia em risco” é o mantra esquerdista desde q Bolsonaro assumiu.
Só vimos riscos democráticos vindos de outros poderes","@canaldootario, Bolsonaro",,,,,,"entendi, vimos",
"BOLSONARO CORRUPTO
Genocida! 
As pessoas sofrendo e o presidente do país fazendo chacota e piadinhas sobre os doentes! 
Bolsonaro, vc tem que ir pra cadeia @jairbolsonaro . Tudo que vc fez não vai ficar impune. 
“CORRUPÇÃO NA PANDEMIA É ASSASSINATO”. https://t.co/kYemtNy9uh","Corrupto, Genocida, Bolsonaro, @jairbolsonaro, Assassinato",,"BOLSONARO, CORRUPTO, CORRUPÇÃO, NA, PANDEMIA, É, ASSASSINATO",,,,,
"@AmaroMarilaine @LaminMarlene @Lourdesregina @JR_Veiga Por isso é #VotoNulo 

O Presidente Bolsonaro colocou todo aparato Militar para procurar dois imbecis que se enfiaram na floresta Amazônica, mas nuca se preocupou em montar uma força tarefa para procurar as mais de 50 mil Crianças desaparecidas todo ano, no Brasil https://t.co/uhIaytPzrz","Votonulo, Presidente bolsonaro, Militar, Floresta amazônica, Crianças, Brasil",,O,#VotoNulo,,,,
"@desmentindobozo BOLSONARO MAIOR MENTIROSO DO PLANETA
https://t.co/tSqHLgf49W",@desmentindobozo bolsonaro,,"BOLSONARO, MAIOR, MENTIROSO, DO, PLANETA",,,,,
@AndreJanonesAdv Bolsonaro reeleito,@andrejanonesadv bolsonaro,,,,,,,
"Caro ex presidente @Collor, caso o capitão o convoque para a missão ao lado dele, o sr. aceitaria um cargo de ministro?",,,,,,,,
@BlogdoNoblat Bolsonaro é um presente 🎁 de Deus para o povo brasileiro de bem.,"@blogdonoblat bolsonaro, Deus",🎁,,,,,,
"Tutto buona gente
#ForaBolsonaroCorrupto 
BOLSONARO CORRUPTO 
BOLSONARO É DESORDEM 
MEU PRESIDENTE É LUIZ INÁCIO LULA DA SILVA 
#LulaPresidente1️⃣3️⃣ 
#BrasilDaEsperanca https://t.co/407GjupUwn","Presidente, Luiz inácio lula da silva 
#",,"BOLSONARO, CORRUPTO, BOLSONARO, É, DESORDEM, MEU, PRESIDENTE, É, LUIZ, INÁCIO, LULA, DA, SILVA","#BrasilDaEsperanca, #ForaBolsonaroCorrupto, #LulaPresidente1️⃣3️⃣",inácio,,,
@RomarioOnze CADÊ O APOIO AO PRESIDENTE BOLSONARO???????????,,,"CADÊ, O, APOIO, AO, PRESIDENTE, BOLSONARO",,,"""?"": 0",,
"@FlavioBolsonaro Bolsonaro nunca mais, agora é Lula.","@flaviobolsonaro, Lula",,,,,,,
Simone Tebet sobre Michelle Bolsonaro: 'Tem visão pequena do papel da mulhe https://t.co/EEo9BPYr9h,"Simone tebet, Michelle bolsonaro",,,,"michelle, simone",,,
@BurgosArthur gays com bolsonaro ✊🏼🏳️‍🌈,Bolsonaro,"✊, 🏼, 🏳, 🌈",,,,,,
"@jairbolsonaro Capitão, não permita a covardia que o tal do Janones está cometendo com o senhor, reaja! #BolsonaroReeleito","@jairbolsonaro capitão, Janones, Bolsonaroreeleito",,,#BolsonaroReeleito,,,,
Hoje penso seriamente votar em bolsonaro ouvi de meu compadre dizer q meu voto não faria falta https://t.co/2x63b3QJqu,Bolsonaro,,,,,,"penso, ouvi",
"@LuizctbaII Estou de pleno acordo, Luiz! Lula não me preocupa mais, o pior dano será Bolsonaro tendo o congresso em suas mãos e o seu plano de aumentar ministros no STF, método típico do chavismo. Eu não votarei nulo, e estou aconselhando meus amigos a fazerem o mesmo.","Luiz!, Bolsonaro, Stf",,STF,,,,votarei,"me, eu"
"@Rconstantino Depois de ele aprontar com o Bolsonaro, mais uma vez, alguém fez o  favor de publicar uma reclamação dele no Reclame Aqui sobre um vibrador que pode colocar leite condensado dentro. Daí a coisa viralizou","Bolsonaro, Reclame",,,,daí,,reclame,
@UOL @AndressaLula Porquê veio à tona o pior deles. Mau caráter = Bolsonaro!,"@uol @andressalula porquê, Bolsonaro",,@UOL,,,,,
"@silvionavarro Esse @LulaOficial é um baita vigarista, mais burro e quem vota no PT.

Bolsonaro 22!","Pt, Bolsonaro",,PT,,,,,
@jaogzn @ana_bananaaan @isa_fronza @yan_rosa07 @rebelinnn mito tem que fechar muito 4 e par cmg,@yan_rosa07 @rebelinnn,,,,comigo,,,
"@tiagosantineli Pior é ter que ouvir pq ainda votam no Bolsonaro, isso sim","@tiagosantineli pior, Bolsonaro",,,,,,,
@LulaOficial Bolsonaro  o melhor para o Brasil  🇧🇷2️⃣2️⃣ https://t.co/NyoF3SYw0w,"Bolsonaro, Brasil",,,,,,,
"@realpfigueiredo Bolsominions machos são apaixonados pelo Bozo. Sonham todas as noites que estão dando pro escrotão.
É atração física. Enrustidos como o Carlucho.
Qualquer primeiro-anista de faculdade de psicologia de quinta consegue explicar essa tara de gritar ""Mito!"".
É tesão recolhido.","Bozo, Escrotão, Carlucho, Mito!",,"É, É",,primeiranista,,,
@Estadao @EstadaoPolitica Enquanto estadão desesperado procura eleger Bozo. https://t.co/Cr30gEpu1n,Bozo,,,,,,,
@lpbragancabr Eleitor do Bolsonaro,Eleitor do bolsonaro,,,,,,,
"@Mab_Dia @CorrupcaoMemes Tá liberado. Só tem que ficar de olho, senão o Bolsonaro come hahahah","@mab_dia @corrupcaomemes tá, Bolsonaro",,,,,,,
"@Gianinni2022 @Eliane28963214 O sujeito que comemora aniversário nas voltas de Saturno só pode viver no mundo da lua.  Um zero à esquerda, irrelevante.   
Mais Bolsonaro do que nunca!","Saturno, Lua, Bolsonaro",,O,,,,,
"@portalR7 Bolsominions machos são apaixonados pelo Bozo. Sonham todas as noites que estão dando pro escrotão.
É atração física. Enrustidos como o Carlucho.
Qualquer primeiro-anista de faculdade de psicologia de quinta consegue explicar essa tara de gritar ""Mito!"".
É tesão recolhido.","Bozo, Escrotão, Carlucho, Mito!",,"É, É",,primeiranista,,,
"Vejo esses nordestinos do interiorzao gravando vídeo pra Bolsonaro, recebe o dinheiro dele e no escurinho só ele e a urna vota 13",Bolsonaro,,,,,,vejo,
"Mais um guerreiro patriota @Razieldenys  que perdeu sua conta principal! Voltando com 546 seguidores nessa conta e precisa de nossa força pra crescer ! Vamos fazê-lo decolar , meu povo guerreiro? 💪💪🇧🇷🇧🇷🤝🤝Absoluta certeza que serão seguidos de volta ! Eu garanto !🇧🇷🇧🇷👏👏",Absoluta,"💪, 💪, 🤝, 🤝, 👏, 👏",,,,,garanto,eu
@EderaraujoSud @ital_xr @77_frota Pix não foi o Bozo que fez,Bozo,,,,,,,
Nunca foi tão fácil escolher! Bolsonaro 22! https://t.co/SQr5Uo0WOq,Bolsonaro,,,,,,,
@cappellarianton @SOS_RIO Fazendo campanha pro Bolsonaro?,"@cappellarianton @sos_rio, Bolsonaro",,@SOS_RIO,,,,,
"Tudo bem que a CBF do Neymar é controlada pelo governo federal, mais permitir que políticos usem o manto nacional e a camisa da seleção brasileira em prol de campanhas políticas é uma vergonha.
Nunca mais usei a minha camisa da seleção brasileira. 
Não quero ser confundido, Bozo.","Cbf, Neymar, Seleção brasileira, Bozo",,CBF,,,,"usei, quero",
"@revistaoeste @JovemPanNews @folha @Estadao @camaradeputados @STF_oficial @TSEjusbr @ipecpesquisas @Datafolha @quaestpesquisa 

Os dois institutos que indicaram vitória de Bolsonaro no 1T receberam quanto? De quem?

Estão sendo investigados também?","@revistaoeste @jovempannews @folha @estadao @camaradeputados @stf_oficial @tsejusbr, @quaestpesquisa, Bolsonaro, T",,T,,,,,
"acha que o bolsonaro tem chance de vencer no 2 turno? — acho que vai ser difícil, mas é possível. https://t.co/HUvr9cPTI4",Bolsonaro,,,,,,acho,
"@Collor Nem se elegeu, imagina eleger Bolsonaro. Sua era passou Collor, descansa.","Bolsonaro, Collor",,,,,,,
@jairmearrependi Jair Bolsonaro vai ser castigado de hoje dia 09/10 até o próximo dia 01/01/23 com queimação no ânus e psicologia forte. A derrota é pra sempre.,@jairmearrependi jair bolsonaro,,A,,,,,
"Quase certo que a Cássia Kis, foi obrigada pela GLOBO a fazer essa novela #TRAVESSIA. E o jeito que ela encontrou para sair da novela, é sendo demitida, e para ser demitida, ela tá bancando a ReginaDuarte versão 2022. Ou então ela realmente é gado do bozo, igual a Glória Perez.","Cássia kis, Globo, Reginaduarte, Bozo, Glória perez",,"GLOBO, TRAVESSIA, E",#TRAVESSIA.,reginaduarte,,,
"@GustavoPlli @JBcompany4 @waldorfgatina @choquei Primeiro que uma coisa não tem nada haver com a outra. Segundo que o Zema tava usando poster com a foto do Lula pra se eleger, e agora resolve apoiar o Bolsonaro? Cara podre. O Lula não é obrigado a passar a mão na cabeça dele não.","Zema, Lula, Bolsonaro, Cara, Lula",,O,,,,,
"@patroamesmo Quando morei fora só Brasil esse ano, conheci dois venezuelanos. Um deles morou no Brasil, no nordeste, durante cinco anos. Ele me disse: o governo venezuelano é igual ao do Bolsonaro.","Brasil, Brasil, Bolsonaro",,,,,,morei,me
"@willgomes Deve ser mesmo. Por isso que o VICE GOVERNADOR da Bahia saiu do barco do PT 

https://t.co/DonSCP0JHg","@willgomes, Vice governador, Bahia, Pt",,"VICE, GOVERNADOR, PT",,,,,
@DCM_online Isso só aconteceu sabe por que? Porque é no desgoverno do Bolsonaro.,"@dcm_online, Bolsonaro",,,,,,,
"@gleisi @LulaOficial E você em 2018 tava junto do Bozo e depois que conseguiu teu objetivo saiu do lado dele. Fez aquilo só pra conseguir se eleger. Caráter, isso você não tem! Mas tá td bem",Bozo,,E,,,,,
"Da mesma forma que quem vota em Lula não é necessariamente petista ou lulista, quem vota em Bolsonaro não precisa ser bolsonarista. 
Não é difícil de entender.","Lula, Bolsonaro",,,,,,,
"@RenatoKrug @The_filthy_soul @wagner_rt @GugaNoblat Kkkkk, Bolsonaro tb é ladrão meu caro, quem disse q eu apoio Lula?","Kkkkk, Bolsonaro, Lula",,,,,,,eu
"@TerraBrasilnot Zema já apoiava Bolsonaro no primeiro turno, idem ao governador do RJ, Cláudio Castro. Tudo isso daí é mais do mesmo. Nós sim, conseguimos apoios inéditos do Ciro, Tebet e mais 13 Partidos.
Quem tem o que comemorar, somos nós.","@terrabrasilnot zema, Bolsonaro, Rj, Cláudio castro, Ciro, Tebet, Partidos",,RJ,,"cláudio, daí, idem",,conseguimos,"nós, nós"
"@DielAlvesl Que patético kkkkk, enquanto o Bolsonaro faz negócios pra trazer investimento pra Brasil o larápio de 9 dedos financiou países de homofóbicos, racistas e ditadores da América Latina e África, parabéns militonto","Que patético kkkkk, Bolsonaro, Brasil, América, África",,,,américa,,,
"@dreyk @DanielMaiaMello @AndreJanonesAdv Aí era apenas um apoiador, já o Bozo é ele junto com os filhos, mulher e ex mulheres, né fraco não",Bozo,,,,,,,
"@alesilva_38 Vamos reverter esse primeiro turno, não vamos perder tempo em mudar os partidários que são Lula até morrer. Vamos focar nos  mais humildes apartidários que são manipuladas pela GLOBO e que votaram no Lula,vamos ao vira votos para Bolsonaro. E tb aqueles do Ciro e tebet,abstenções","@alesilva_38 vamos, São lula, Globo, Lula, Bolsonaro, Ciro",,"GLOBO, E",,,,vamos,
"Tem estuprador também, Robinho é Bolsonaro! https://t.co/yI1Jv1SX7a","Robinho, Bolsonaro",,,,,,,
"@michel_1307 @emicida @StaMusica_ Sério isso cara? Você não se importa com toda a roubalheira nos anos de Bolsonaro? Roubalheira traz miséria ou você é indiferente a isso? Não gostar do PT é uma coisa, mas ser indiferente às atrocidades do Bolsonaro é o que?","@michel_1307 @emicida @stamusica_, Bolsonaro, Roubalheira, Pt, Bolsonaro",,PT,,,,,
"@SidnAllan Para de fumar e beber, o bagulho estragado atrofia seu diminuto cérebro. Eles misturam com bosta de asno das estrebarias do Bolsonaro e filhos mechique","@sidnallan, Bolsonaro, Mechique",,,,,,,
"@soudanimarques @dinizacessorios @jairbolsonaro O Bolsonaro é um verdadeiro caçador de tesouros, são pessoas que tem muita vontade de fazer as coisas acontecerem, mas a velha política não as deixavam brilhar. 
O Brasil é riquíssimo em talentos ! 
Parabéns e obrigado por deixar o nosso país melhor!🇧🇷🇧🇷🇧🇷👏👏👏👏","@soudanimarques @dinizacessorios @jairbolsonaro, Bolsonaro, Brasil, Parabéns","👏, 👏, 👏, 👏","O, O",,,,,
bolsonaro tu me paga por ter extinto o Ministério da Cultura pq agora não posso mencionar na minha redação CANALHA,"Bolsonaro, Ministério da cultura",,CANALHA,,,,posso,me
"Passando para ver os twits da direita hipocrita quendefende Cunha, Temer, Aecio, Bolsonaro e a familia, com Queiroz e toda a milicia do Rio. 
😬😅😀🤣","Cunha, Temer, Aecio, Bolsonaro, Queiroz, Rio","😬, 😅, 😀, 🤣",,,quendefende,,,
"Abortista... Tentou abortar o Jair Renan que foi registrado como pai desconhecido e apenas após o DNA foi reconhecido. Renan foi concebido quando bolsonaro e sua mãe eram casados com outras pessoas, ele foi fruto de uma dupla traição. https://t.co/IfpMqhVFUu","Abortista, Jair renan, Renan, Bolsonaro",,DNA,,,,,
Melhor JAIR fazendo as malas . https://t.co/o9HUmGrXNJ,,,JAIR,,,,,
"@Catheri78159001 @AguiarMagela @DudaSalabert @LulaOficial o  próprio estadao soltouu a nota  que o pt abandou a obra  kkkkkkkk 
A imparcialidade delws deles foi desespero da mamata
Pra atacar o MITO 

https://t.co/1cO9qdIDcy","@catheri78159001 @aguiarmagela @dudasalabert, Pt, Pra atacar o mito",,"A, MITO",,,,,
"@lucia_saad1 Ah tá! Por outro lado, Bolsonaro irá priorizar o Nordeste!? Pelo orçamento secreto??","@lucia_saad1, Bolsonaro, Nordeste",,,,,"""?"": 0",ah,
"@Doprimido2 @BrigitteOlivei4 O 7S€ vai mandar excluir a postagem de sentido dúbio? Ou  a proibição de ontem, quanto  
associar Bolsonaro a canibalismo não vale para esse ser abominável? https://t.co/ca4u67uZYL",Bolsonaro,,"O, 7S€",,,,,
"@JornalOGlobo Não vou votar no Bolsonaro porque ele não é conservador. 
Anda de moto sem capacete e fala palavrão.",Bolsonaro,,,,,,,
"Em 2003, Lula não tinha maioria no Senado, não tinha maioria na Câmara. Vamos ter capacidade maior de diálogo com governadores e prefeitos, algo que Bolsonaro não fez.","Lula, Senado, Câmara, Bolsonaro",,,,,,,
"@loyaltybaldwin @Casimiro @TNTSportsBR Bolsonaro pode ter sido INDIRETAMENTE responsável pelas mortes na pandemia, mas ele não colocou 700 mil pessoas e colocou num campo de concentração, ou ele fez isso e eu não vi?",Indiretamente,,INDIRETAMENTE,,,,vi,eu
"@LPG_Leandro @inherentflow @77_frota O coiso APENAS terminou a transposição. 
Faltava POUCO, se informe.

O coisa não faz nada, detona tudo e ainda se apropria dos feitos dos outros.

https://t.co/LjpeyHEzhu",Https://t.co/ljpeyhezhu,,"O, APENAS, POUCO, O",,,,,
"@TercioArnaud Bolsonaro nunca mais, agora é Lula","@tercioarnaud, Bolsonaro, Lula",,,,,,,
