tweet,autoridades,emojis,caixa_alta,hashtags,termos_tecnicos,repeticoes_pontuacao,verbos_primeira_pessoa,pronomes_primeira_pessoa
"@albertt1983 @xarpiL1 @coraxin @CinAlbuquerque @PauloTeofiloMC @Collor Uai mais aq vemos venezuela,cuba,argentina e chile ambas como amigos intimo do lula e do pt e sendo q o lula apoia todos esses paise de vermelho e tbm sua politica mais e so o bolso q e ruim e outra pesquisa menino do mep e vc perde nos argumentos,mais e o bolsonaro q e o pior kk https://t.co/7X1FTwBR6m","@cinalbuquerque, Uai, Aq, Venezuela, Cuba, Argentina, Chile, Pt, Lula, Mep, Bolsonaro",,,,"chile, venezuela",,"vemos, so",
"@arturlandi_s imperial, hexa ou bolsonaro
nunca saberemos",@arturlandi_s imperial,,,,,,saberemos,
"@Israel_ferre127 @obvjoao @AlexRedfieldd Aí você acordou né?? Ele tá querendo separar a gente neguinha, você sabe que eu te amo, viu como ele faz? Ele é o nosso Bolsonaro, ele separa famílias!! Ele divide LARES","Bolsonaro, Lares",,LARES,,,"""?"": 0, ""!"": 0",amo,"eu, te"
@Miltonneves 22 Nosso Presidente Bolsonaro REELEITO,"Nosso presidente, Reeleito",,REELEITO,,,,,
@amelialimab612 Ja tá alto e com qualidade pessima por culpa do bozo q destruiu a economia do país,"@amelialimab612 ja, Bozo",,,,,,,
@allandospanos O @FernandoHoliday é tchutchuca do Bozo,Bozo,,O,,,,,
"@havanoficial PT nunca mais é 22 neles de novo, a D você é verdadeiro patriota parabéns que Deus continue abençoando sua vida sempre e te dê a paz e muitas conquistas.","@havanoficial pt, D, Deus",,"PT, D",,,,,
"@lpbragancabr O bandido no caso é Bolsonaro. E não, ele não será reeleito. Quem será reeleito é o melhor presidente que o Brasil já teve. De nada!","Bolsonaro, Brasil",,"O, E",,,,,
@vanessnnavarro Dia 30 é Lula presidente do Brasil. Se prepare Bolsonaro pois seus sigilos!,"@vanessnnavarro dia, Lula, Brasil, Bolsonaro",,,,,,,
"@leo66924643 @AguiarMagela @DudaSalabert @LulaOficial Não existe ""jornal da esquerda"".  Segue sendo a maior parte da obra do PT, além da idealização do projeto, sem o PT nem projeto teria, fake news não passará:
https://t.co/r44Eip6lvU","Pt, Pt",,"PT, PT",,,,,
"@ObamaMalik O agronegócio brasileiro está em risco.
Olha isso Brasil, olha isso mundo.  os invasores de terra MST invadindo propriedades.  Começaram dia 2 de outubro. 
Lula e a desgraça para o Brasil 🇧🇷 
 BOLSONARO E A SALVAÇÃO DO BRASIL. VOTE 2️⃣2️⃣✔️🇧🇷

#ConfiaNoVerdadeiro https://t.co/VEczwsPwkW","Brasil, Lula, Brasil, Bolsonaro, E a salvação do brasil, Vote, Confianoverdadeiro https://t.co/veczwspwkw",✔,"O, MST, BOLSONARO, E, A, SALVAÇÃO, DO, BRASIL, VOTE",#ConfiaNoVerdadeiro,psn,,,
"eu na vida
Aparece alguém querendo falar que não vota em bandido corrupto a vontade que me dá é de falar ""Bolsonaro só não vai roubar tua cueca pq não quer sentir esse rastro de bosta que você largou nela"" https://t.co/ZkTfGjQOMq",Bolsonaro,,,,,,,"eu, me"
"@JZeyro @RaniiMotta @beltranYWNK @futebol_info @junior_janir Curte Roger, Monark, vídeo do padre 171 e acha que alguém é otario de acreditar nesse papinho? Kkkkkkkk

Pode achar os dois horríveis mas iguais NÃO são. Da uma lidinha no que o ídolo do Bolsonaro fez na Hungria e que ele já disse que pretende fazer aqui, pra entender…","@jzeyro @raniimotta, Monark, Kkkkkkkk, Bolsonaro, Hungria",,NÃO,,hungria,,,
@lanadeholanda A galera não aprendeu com bolsonaro.,Bolsonaro,,A,,,,,
"@PedroRonchi2 
Assisti um vídeo de um pastor famoso dizendo que Bolsonaro não presta, mas ele representa os ideais cristãos, da família e da Pátria. Ou seja, os evangélicos bolsonaristas pediriam para soltar Barrabás de novo.","Bolsonaro, Pátria, Barrabás",,,,,,,
