Unnamed: 0,id,text,created_at,source,lang,conversation_id,like_count,retweet_count,quote_count,reply_count,type,referenced_tweet_id,mentions,hashtags,urls,author_id,"media_keys
"
20,1579260383809785856,Minha mae acredita em todo tipo de fake nils q passa na televisao contra o lula mas contra o bolsonaro ela nao acredita em nada mano pqp 🥴,2022-10-09 23:59:51,Twitter for Android,pt,1579260383809785856,1,0,1,1,tweeted,,,,,739146501969072129,"
"
21,1579260383529144321,@lucaspavanato De quem foi o voto de minerva pra soltar o Lula? Cássio Nunes 100% alinhado com Bolsonaro.,2022-10-09 23:59:51,Twitter for Android,pt,1579254664130105346,29,1,2,1,replied_to,1579254664130105346,608452346,,,3013869977,"
"
22,1579260383436898306,@semladroes Bolsonaro perdeu voto,2022-10-09 23:59:51,Twitter for Android,pt,1579248478978736128,1,0,1,0,replied_to,1579248478978736128,1554568615302758400,,,1293622009042284548,"
"
23,1579260381889200131,"@CorrupcaoMemes Ces sabem aquela ibagem, né? https://t.co/Z20aCXLkFy",2022-10-09 23:59:50,Twitter Web App,pt,1579242588208787456,0,0,1,0,replied_to,1579242588208787456,943231097193852928,,https://t.co/Z20aCXLkFy,1471645031014490114,"
"
24,1579260380945461248,"@institutopapo10 Estão mesmoa! No meu entorno, estão desesperados, pedindo pelo amor de Deus pra que os que não votaram ou que votaram nulo, darem uma chance a bolsonaro. Tu viu a linguagem corporal do bozo hoje na propaganda? Ele elogiando o nordeste e os olhos e o corpo desmentindo?",2022-10-09 23:59:50,Twitter for Android,pt,1579258230517047296,5,2,1,1,replied_to,1579258230517047296,1564361115416535054,,,1428037714545463296,"
"
25,1579260378097553408,"Diz que vota no Bolsonaro mas ainda não fez nenhum pacto com o diabo ou mandou abortar um filho, enfim, poser",2022-10-09 23:59:50,Twitter for Android,pt,1579260378097553408,0,0,1,0,tweeted,,,,,1059518392145723393,"
"
26,1579260377904599042,"Só tenho a agradecer ao seu pai,o nosso querido presidente Bolsonaro,por tanta dedicação ao nosso país,ao nosso povo. 🇧🇷2️⃣2️⃣ https://t.co/HTbdLjpvES",2022-10-09 23:59:49,Twitter for iPhone,pt,1579260377904599042,1,1,1,0,quoted,1579083317248667650,,,https://t.co/HTbdLjpvES,1240216322,"
"
27,1579260376117833728,@freu_rodrigues Triste ouvir isso desse cara os brasileiros indolatra muito essa praga tem que acabar com isso Bolsonaro 22🇧🇷,2022-10-09 23:59:49,Twitter for Android,pt,1579244227237511168,0,0,1,0,replied_to,1579244227237511168,2902359105,,,1559679106077401088,"
"
28,1579260376008765440,"@MateusKiller22 @acmneto_ Kkkkkk 

Leão já rompeu a tanto tempo  com Rui.

Desonestos ou desinformados?

Olha q Lula teve quase 4 milhões a mais q Bozo aqui. Assim perderão de novo.",2022-10-09 23:59:49,Twitter for Android,pt,1579259371204509696,0,0,0,1,replied_to,1579259371204509696,"1535720843686383617, 49966078",,,1549088003955593217,"
"
29,1579260371738951682,"Tá complicado.....
Mas não vencerão...
Isso é só o sinal do desespero do mito ir em cana e eles não terem mais um boçal para chamar de chefe. https://t.co/T04ilbHmA8",2022-10-09 23:59:48,Twitter Web App,pt,1579260371738951682,13,7,0,0,tweeted,,,,https://t.co/T04ilbHmA8,1159208222,"
"
